Model Name,filename,ID Number,Output filename,main filename,program used,Time taken,Cores,nodes,Link to model
Differential modulation of pattern and rate in a dopamine neuron model (Canavier and Landry 2006),CanavierLandry2006.zip,84612,"CanavierLandry2006/fig10AMPA.dat,CanavierLandry2006/fig10NMDA.dat,CanavierLandry2006/fig4bAMPA.dat,CanavierLandry2006/fig4bNMDA.dat,CanavierLandry2006/fig5AMPA.dat,CanavierLandry2006/fig5NMDA.dat,CanavierLandry2006/fig9aAMPA.dat,CanavierLandry2006/fig9aNMDA.dat,CanavierLandry2006/fig9bAMPA.dat,CanavierLandry2006/fig9bNMDA.dat",mosinit.hoc,neuron 7.3,1min,1,1,http://senselab.med.yale.edu/ModelDB/showmodel.asp?model=84612
"Direct recruitment of S1 interneurons via ICMS (Overstreet and Helms Tillery, submitted)",OverstreetEtAl2013.zip,147460,"Interneuron/Slice_Simulations/celltype1.dat,Interneuron/Slice_Simulations/celltype2.dat,Interneuron/Slice_Simulations/celltype3.dat,Interneuron/Slice_Simulations/celltype4.dat,Interneuron/Slice_Simulations/celltype5.dat,Interneuron/Slice_Simulations/celltype6.dat,Interneuron/Slice_Simulations/celltype7.dat,Interneuron/Slice_Simulations/celltype8.dat",initxcstim.hoc,neuron 7.3,30sec,1,1,http://senselab.med.yale.edu/ModelDB/showmodel.asp?model=147460
Effects of Chloride accumulation and diffusion on GABAergic transmission (Jedlicka et al 2011),Chloride_Model.zip,148253,"Chloride_Model/cell_1/morpho.txt,Chloride_Model/cell_2/morpho.txt,Chloride_Model/cell_3/morpho.txt,Chloride_Model/cell_4/morpho.txt,Chloride_Model/cell_5/morpho.txt,Chloride_Model/cell_6/morpho.txt,Chloride_Model/cell_7/morpho.txt,Chloride_Model/cell_8/morpho.txt",mosinit.hoc,neuron 7.3,4min 30,1,1,http://senselab.med.yale.edu/ModelDB/showmodel.asp?model=148253
Frog second-order vestibular neuron models (Rössert et al. 2011),2VN.zip,139654,"2VN/zapstim.txt,2VN/syntimes570.txt",mosinit.hoc,neuron 7.3,1min,1,1,http://senselab.med.yale.edu/ModelDB/showmodel.asp?model=139654
"Functional impact of dendritic branch point morphology (Ferrante et al., 2013)",Branch_Point_Tapering.zip,146509,Branch_Point_Tapering/morph.txt,mosinit.hoc,neuron 7.3,1min,1,1,http://senselab.med.yale.edu/ModelDB/showmodel.asp?model=146509
Functional structure of mitral cell dendritic tuft (Djurisic et al. 2008),djurisic2008.zip,136026,djurisic2008/dapdata.txt,mosinit.hoc,neuron 7.3,1min,1,1,http://senselab.med.yale.edu/ModelDB/showmodel.asp?model=136026
High frequency oscillations in a hippocampal computational model (Stacey et al. 2009),SRandCRnet.zip,135902,"SRandCRnet/parameters/conn.dat,SRandCRnet/parameters/different conn_dat files/alltoallconn.dat,SRandCRnet/parameters/different conn_dat files/conn10sprouts.dat,SRandCRnet/parameters/different conn_dat files/conna.dat,SRandCRnet/parameters/different conn_dat files/connb.dat,SRandCRnet/parameters/different conn_dat files/connbase.dat,SRandCRnet/parameters/different conn_dat files/connhalfwaylineargaps.dat,SRandCRnet/parameters/different conn_dat files/connlineargaps.dat,SRandCRnet/parameters/different conn_dat files/connonecell.dat,SRandCRnet/parameters/different conn_dat files/connreal.dat,SRandCRnet/parameters/different conn_dat files/connwgaprecurandsplitbaskets.dat,SRandCRnet/parameters/different conn_dat files/connwith gaps.dat,SRandCRnet/parameters/different conn_dat files/connwithbaskgaps.dat,SRandCRnet/parameters/different conn_dat files/connwithmanypyrgaps.dat",netrun.hoc,neuron 7.3,1min,1,1,http://senselab.med.yale.edu/ModelDB/showmodel.asp?model=135902
Hippocampus temporo-septal engram shift model (Lytton 1999),lytton99.zip,7400,stdout.txt,mosinit.hoc,neuron 7.3,1min,1,1,http://senselab.med.yale.edu/ModelDB/showmodel.asp?model=7400
Lateral dendrodenditic inhibition in the Olfactory Bulb (David et al. 2008),DendroDend_r3.zip,116094,"DendroDendriticInhibition/LongDendrite/fig1bde.dat,DendroDendriticInhibition/LongDendrite/tabchannels.dat,DendroDendriticInhibition/ShortDendrite/fig1bde.dat,DendroDendriticInhibition/ShortDendrite/tabchannels.dat,",mosinit.hoc,neuron 7.3,1min,1,1,http://senselab.med.yale.edu/ModelDB/showmodel.asp?model=116094
"Local variable time step method (Lytton, Hines 2005)",locstepperf_r1.zip,33975,locstepperf/wb96fig3a-5atol.dat,mosinit.hoc,neuron 7.3,30sec,1,1,http://senselab.med.yale.edu/ModelDB/showmodel.asp?model=33975
Mechanisms of magnetic stimulation of central nervous system neurons (Pashut et al. 2011),pashut2011.zip,138321,pashut2011/OneDimension/Neuron/ex.txt,mosinit.hoc,neuron 7.3,1min,1,1,http://senselab.med.yale.edu/ModelDB/showmodel.asp?model=138321
Medial vestibular neuron models (Quadroni and Knopfel 1994),mvns.zip,53876,mvns/diagnostics/papermodel_comparisons.txt,mosinit.hoc,neuron 7.3,1min,1,1,http://senselab.med.yale.edu/ModelDB/showmodel.asp?model=53876
"Nerve terminal currents at lizard neuromuscular junction (Lindgren, Moore 1989)",lindgren89.zip,10360,stdout.txt,mosinit.hoc,neuron 7.3,1min,1,1,http://senselab.med.yale.edu/ModelDB/showmodel.asp?model=10360
Network recruitment to coherent oscillations in a hippocampal model (Stacey et al. 2011),Recruitnet.zip,135903," Recruitnet/recruitconn.dat,Recruitnet/different recruitconn_dat files/recruitconn_nbFB_gaps.dat,Recruitnet/different recruitconn_dat files/recruitconn_nbFB_rec.dat,Recruitnet/different recruitconn_dat files/recruitconnbasicnoneighborFB.dat,Recruitnet/different recruitconn_dat files/recruitconnwithneighborFB.dat",recruit.hoc,neuron 7.3,1min,1,1,http://senselab.med.yale.edu/ModelDB/showmodel.asp?model=135903
Nigral dopaminergic neurons: effects of ethanol on Ih (Migliore et al. 2008),modeldb-etoh.zip,112359,"modeldb-etoh/x1e0p9927.dat,modeldb-etoh/x2e0p9927.dat",mosinit.hoc,neuron 7.3,1min,1,1,http://senselab.med.yale.edu/ModelDB/showmodel.asp?model=112359
Olfactory bulb cluster formation (Migliore et al. 2010),migliore2010.zip,127995,migliore2010/weight-forfig3-bulb1.dat,mosinit.hoc,neuron 7.3,1min,1,1,http://senselab.med.yale.edu/ModelDB/showmodel.asp?model=127995
Olfactory bulb mitral and granule cell column formation (Migliore et al. 2007),plast.zip,114665,"plast/2mt-s1-w05-w00-e2i3-int220.txt,plast/2mt-s2-w05-w00-e2i3-int220.txt,plast/2mt-s4-w05-w00-e2i3-int220.txt,plast/trace-gc0dend0-w05-w00-e2i3-int220.txt,plast/trace-gc33dend0-w05-w00-e2i3-int220.txt,plast/trace-mt0dend066-w05-w00-e2i3-int220.txt,plast/trace-mt0soma05-w05-w00-int220.txt,plast/trace-time-w05-w00-e2i3-int220.txt",mosinit.hoc,neuron 7.3,1min,1,1,http://senselab.med.yale.edu/ModelDB/showmodel.asp?model=114665
Olfactory bulb mitral and granule cell: dendrodendritic microcircuits (Migliore and Shepherd 2008),MT-GC.zip,97263,MT-GC/coeff-table.txt,mosinit.hoc,neuron 7.3,1min,1,1,http://senselab.med.yale.edu/ModelDB/showmodel.asp?model=97263
Olfactory bulb mitral cell gap junction NN model: burst firing and synchrony (O`Connor et al. 2012),oconnoretal2012.zip,146030,"oconnoretal2012/CellPositions.dat,oconnoretal2012/ElectricalInputs.dat,oconnoretal2012/NetworkConnections.dat",init.hoc,neuron 7.3,2min,1,1,http://senselab.med.yale.edu/ModelDB/showmodel.asp?model=146030
Olfactory Bulb Network (Davison et al 2003),bulbNet.zip,2730,bulbNet/tabchannels.dat,mosinit.hoc,neuron 7.3,1min,1,1,http://senselab.med.yale.edu/ModelDB/showmodel.asp?model=2730
Rat subthalamic projection neuron (Gillies and Willshaw 2006),sth-model.zip,74298,"sth-model/sth-data/tree0-nom.dat,sth-model/sth-data/tree1-nom.dat",sample.hoc,neuron 7.3,4min,1,1,http://senselab.med.yale.edu/ModelDB/showmodel.asp?model=74298
Recording from rod bipolar axon terminals in situ (Oltedal et al 2007),oltedal.zip,84655,"oltedal/gsynth_10ms_.dat,oltedal/gsynth_1ms_.dat,oltedal/gsynth_5ms_.dat",mosinit.hoc,neuron 7.3,1min,1,1,http://senselab.med.yale.edu/ModelDB/showmodel.asp?model=84655
"Resonance properties through Chirp stimulus responses (Narayanan Johnston 2007, 2008)",Chirp.zip,147539,"Chirp/Output/ChirpGh_10.00.txt,Chirp/ChirpI.txt",mosinit.hoc,neuron 7.3,1min,1,1,http://senselab.med.yale.edu/ModelDB/showmodel.asp?model=147539
Ribbon Synapse (Sikora et al 2005),Ribbon_r1.zip,50997,Ribbon/bp.dat,mosinit.hoc,neuron 7.3,1min,1,1,http://senselab.med.yale.edu/ModelDB/showmodel.asp?model=50997
"State and location dependence of action potential metabolic cost (Hallermann et al., 2012)",HallermannEtAl2012_r1.zip,144526,stdout.txt,mosinit.hoc,neuron 7.3,1min,1,1,http://senselab.med.yale.edu/ModelDB/showmodel.asp?model=144526
STD-dependent and independent encoding of Input irregularity as spike rate (Luthman et al. 2011),LuthmanEtAl2011.zip,144523,"LuthmanEtAl2011/OutputDCN_soma_1s_ap.dat,LuthmanEtAl2011/OutputDCN_soma_2s_time.dat,LuthmanEtAl2011/OutputDCN_soma_1s_trace.dat",mosinit.hoc,neuron 7.3,1min,1,1,http://senselab.med.yale.edu/ModelDB/showmodel.asp?model=144523
Updated Tritonia Swim CPG (Calin-Jagemann et al. 2007),tri_cpg_new20070903.zip,93325,"nfrost/bursts.txt,nfrost/syndefs/C2_DRI.txt,nfrost/syndefs/C2_DSI.txt,nfrost/syndefs/C2_VSI.txt,nfrost/syndefs/DRI_DSI.txt,nfrost/syndefs/DSI_C2.txt,nfrost/syndefs/DSI_DSI.txt,nfrost/syndefs/DSI_VSI.txt,nfrost/syndefs/nosyn.txt,nfrost/syndefs/RAMP_DRI.txt,nfrost/syndefs/RAMP_DSI.txt,nfrost/syndefs/VSI_C2.txt,nfrost/syndefsVSI_DSI.txt,nfrost/syndefs/VSI_VSI.txt",mosinit.hoc,neuron 7.3,1min,1,1,http://senselab.med.yale.edu/ModelDB/showmodel.asp?model=93325
"CA1 pyramidal neuron: calculation of MRI signals (Cassara et al. 2008)
",nc-mri.zip,106551,stdout.txt,Neuron1.hoc,neuron7.3,1 min,1,1,http://senselab.med.yale.edu/modeldb/showmodel.asp?model=106551
"""Modeling local field potentials (Bedard et al. 2004)""",LFP.zip,136310,curr.dat,mosinit.hoc,neuron7.3,2min,1,1,http://senselab.med.yale.edu/modeldb/showmodel.asp?model=136310
Synchrony by synapse location (McTavish et al. 2012),mctavish_syncbylocation.zip,144054,weight_snapshot.dat,src/parinit.hoc,neuron7.3,3min,1,1,http://senselab.med.yale.edu/modeldb/showmodel.asp?model=144054
